INFO 2021-08-10 09:17:11,229 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
INFO 2021-08-10 09:17:22,242 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:20:45,014 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 251 /Users/jeonghwan-yong/Desktop/pratics/server_dev/server_dev/settings.py changed, reloading.
INFO 2021-08-10 09:20:45,392 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
INFO 2021-08-10 09:20:48,831 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:20:58,956 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:20:59,097 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:20:59,241 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:20:59,449 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:20:59,613 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:21:27,394 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 251 /Users/jeonghwan-yong/Desktop/pratics/server_dev/server_dev/settings.py changed, reloading.
INFO 2021-08-10 09:21:42,436 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
INFO 2021-08-10 09:30:58,193 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 251 /Users/jeonghwan-yong/Desktop/pratics/server_dev/todo/views.py changed, reloading.
INFO 2021-08-10 09:30:58,559 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
INFO 2021-08-10 09:31:01,572 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/servers/basehttp.py 161 "POST /todo/select HTTP/1.1" 200 430
INFO 2021-08-10 09:31:15,580 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 251 /Users/jeonghwan-yong/Desktop/pratics/server_dev/server_dev/settings.py changed, reloading.
INFO 2021-08-10 09:31:18,274 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
INFO 2021-08-10 09:31:21,653 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 251 /Users/jeonghwan-yong/Desktop/pratics/server_dev/server_dev/settings.py changed, reloading.
INFO 2021-08-10 09:31:23,299 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
DEBUG 2021-08-10 09:31:23,300 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 315 Waiting for apps ready_event.
DEBUG 2021-08-10 09:31:23,427 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 327 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/templates with glob **/*.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /Users/jeonghwan-yong/Desktop/pratics/server_dev/templates with glob **/*.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /Users/jeonghwan-yong/Desktop/pratics/server_dev/locale with glob **/*.mo.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /Users/jeonghwan-yong/Desktop/pratics/server_dev/login/locale with glob **/*.mo.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /Users/jeonghwan-yong/Desktop/pratics/server_dev/todo/locale with glob **/*.mo.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /opt/anaconda3/envs/practice/lib/python3.7/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2021-08-10 09:31:23,437 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 281 Watching dir /Users/jeonghwan-yong/Desktop/pratics/server_dev/common/locale with glob **/*.mo.
DEBUG 2021-08-10 09:31:23,452 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/backends/utils.py 128 (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2021-08-10 09:31:23,454 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/backends/utils.py 128 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=()
DEBUG 2021-08-10 09:31:23,497 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/http.py first seen with mtime 1628446504.894663
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/models/sql/constants.py first seen with mtime 1628446504.867954
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/click/parser.py first seen with mtime 1628447788.8087878
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/pytz/lazy.py first seen with mtime 1612215422.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /Users/jeonghwan-yong/Desktop/pratics/server_dev/login/__init__.py first seen with mtime 1628394466.1633945
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/jinja2/__init__.py first seen with mtime 1628446330.9125905
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1628446504.4384086
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/renderers.py first seen with mtime 1628391678.8514483
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/encodings/idna.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/sqlparse/filters/tokens.py first seen with mtime 1602184477.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/unittest/signals.py first seen with mtime 1627394842.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/deprecation.py first seen with mtime 1628446504.8933048
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/rest_framework/schemas/inspectors.py first seen with mtime 1628391678.8724413
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /Users/jeonghwan-yong/Desktop/pratics/server_dev/todo/urls.py first seen with mtime 1628488227.7432485
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/yaml/resolver.py first seen with mtime 1628447788.772478
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/template/library.py first seen with mtime 1628446504.8842008
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/wsgiref/handlers.py first seen with mtime 1627394840.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/encodings/latin_1.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/migrations/utils.py first seen with mtime 1628446504.8587036
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/urllib3/fields.py first seen with mtime 1628160452.4201417
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/core/handlers/exception.py first seen with mtime 1628446504.8378003
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/email/_parseaddr.py first seen with mtime 1627394839.0
DEBUG 2021-08-10 09:31:23,498 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/platform.py first seen with mtime 1627394833.0
